Gender,Sleep_Hours_Per_Night,Screen_Time_Hours,Social_Media_Hours,Attendance_Percentage,Assignments_Completed,Class_Participation_Score,Physical_Activity_Hours_Per_Week,Stress_Level,Motivation_Level,Extracurricular_Involvement,Previous_Semester_GPA,Productivity_Score,Performance_Category,Gender_Encoded,SM_Percentage
Female,Poor,High,Moderate,86.1,88.3,7.0,Very Active,7.2,8.9,7.4,7.1,77.3,High,0,23.076923076923077
Female,Healthy,High,High,76.5,96.4,7.2,Moderately Active,10.0,7.1,3.2,5.9,65.9,High,0,64.86486486486486
Male,Poor,High,High,87.2,82.1,6.3,Moderately Active,4.4,7.8,5.0,7.0,51.1,Medium,1,28.846153846153843
Female,Poor,High,High,61.6,85.3,1.3,Underactive,6.8,4.8,0.7,6.7,37.0,Low,0,49.15254237288135
Male,Healthy,High,Moderate,80.8,53.5,5.2,Very Active,3.3,10.0,1.2,5.6,23.8,Low,1,31.11111111111111
Female,Healthy,High,High,71.2,52.0,2.5,Moderately Active,5.4,6.7,0.0,5.2,28.7,Low,0,52.25225225225225
Female,Healthy,High,High,76.3,50.7,7.0,Very Active,9.3,7.4,0.3,9.5,57.9,Medium,0,35.0
Male,Healthy,High,Low,71.0,93.9,4.1,Underactive,5.5,6.7,1.9,6.1,46.5,Low,1,0.0
Female,Poor,High,Moderate,96.7,89.9,7.6,Very Active,7.5,6.3,2.3,6.1,60.4,Medium,0,21.917808219178085
Male,Poor,High,High,65.3,60.5,4.4,Moderately Active,1.6,6.7,2.0,6.2,47.7,Medium,1,62.66666666666667
Female,Poor,High,High,97.2,69.1,7.9,Very Active,4.6,5.2,3.5,7.9,60.3,Medium,0,28.947368421052634
Female,Poor,High,High,85.6,44.2,7.8,Underactive,3.2,5.3,4.4,5.7,45.7,Low,0,58.333333333333336
Female,Healthy,High,High,61.7,69.3,6.5,Very Active,6.2,6.2,2.3,9.7,61.2,Medium,0,35.41666666666667
Male,Healthy,High,High,84.4,67.7,5.8,Very Active,3.7,3.9,3.0,7.9,57.7,Medium,1,90.19607843137256
Female,Poor,High,Moderate,71.0,44.5,5.0,Very Active,1.0,6.4,5.0,6.5,63.3,High,0,20.75471698113208
Female,Poor,High,High,82.9,82.6,3.3,Very Active,6.3,8.2,8.2,5.2,46.1,Low,0,54.23728813559322
Female,Healthy,High,Moderate,96.0,63.1,7.1,Very Active,3.9,8.5,0.9,5.6,67.5,High,0,21.73913043478261
Female,Healthy,Moderate,High,54.0,53.3,10.0,Underactive,1.0,4.4,2.0,6.5,54.4,Medium,0,88.23529411764706
Male,Excessive,Moderate,High,65.9,79.6,7.6,Very Active,3.6,8.0,5.0,4.0,74.5,High,1,86.66666666666667
Male,Healthy,High,Low,84.9,32.2,5.8,Underactive,2.4,5.4,6.0,7.4,46.6,Low,1,1.869158878504673
Male,Poor,High,High,73.6,67.3,7.2,Underactive,5.1,7.2,0.0,6.8,52.3,Medium,1,55.769230769230774
Female,Poor,High,High,71.7,61.9,4.4,Very Active,3.8,7.1,2.6,3.7,50.0,Medium,0,92.45283018867926
Male,Poor,High,Moderate,62.2,94.7,7.5,Moderately Active,6.2,6.0,2.6,7.2,64.5,High,1,14.814814814814813
Female,Excessive,High,High,77.0,79.6,7.6,Underactive,5.7,4.8,3.3,4.5,37.4,Low,0,48.05194805194805
Male,Poor,High,High,63.1,86.4,4.8,Underactive,4.6,6.3,3.2,5.9,54.7,Medium,1,58.69565217391305
Male,Healthy,High,High,56.2,72.5,3.1,Very Active,5.9,6.6,2.1,8.0,45.7,Low,1,90.0
Female,Healthy,Moderate,Moderate,88.1,90.4,5.8,Very Active,5.3,5.5,4.9,6.7,71.6,High,0,79.16666666666666
Male,Poor,High,High,63.9,68.3,5.0,Very Active,3.5,4.7,2.0,5.3,48.6,Medium,1,61.904761904761905
Female,Excessive,High,High,98.9,79.2,8.1,Moderately Active,5.7,5.3,3.1,6.6,73.9,High,0,69.56521739130436
Male,Poor,High,Low,98.4,83.8,7.5,Very Active,6.8,5.8,2.8,8.1,69.2,High,1,0.0
Male,Poor,High,High,91.5,63.8,9.4,Underactive,5.0,6.1,7.2,5.1,61.9,Medium,1,53.94736842105263
Female,Healthy,Moderate,Low,100.0,44.5,5.4,Underactive,5.4,6.3,8.9,6.7,65.6,High,0,6.060606060606061
Male,Poor,High,High,68.5,86.7,10.0,Moderately Active,6.0,5.1,0.0,7.7,47.9,Medium,1,19.327731092436974
Female,Healthy,High,Moderate,90.8,87.6,5.1,Moderately Active,6.9,7.3,1.3,5.8,61.8,Medium,0,22.972972972972972
Female,Poor,High,High,70.6,54.8,6.0,Moderately Active,4.2,6.4,7.6,5.6,40.3,Low,0,45.09803921568628
Male,Poor,High,High,69.8,62.0,6.0,Very Active,6.1,5.4,6.8,6.9,57.2,Medium,1,41.666666666666664
Male,Healthy,High,High,73.9,57.0,4.0,Very Active,5.1,6.2,3.0,6.2,52.1,Medium,1,82.75862068965517
Male,Poor,High,High,71.1,63.1,9.6,Very Active,8.4,10.0,6.4,3.9,57.1,Medium,1,93.05555555555556
Male,Poor,High,High,99.1,76.5,6.6,Moderately Active,3.7,8.2,1.2,1.4,54.7,Medium,1,33.6734693877551
Male,Healthy,High,High,85.3,97.9,6.0,Moderately Active,6.0,5.9,4.8,4.8,41.8,Low,1,60.86956521739131
Male,Poor,High,High,93.2,80.1,4.3,Underactive,6.0,7.2,3.0,7.1,53.3,Medium,1,58.46153846153845
Female,Healthy,High,High,60.6,72.6,6.2,Very Active,4.9,6.2,6.1,9.6,61.4,Medium,0,44.06779661016949
Female,Poor,High,High,93.4,100.0,8.4,Very Active,8.0,5.7,3.5,6.5,49.4,Medium,0,41.42857142857142
Female,Healthy,High,High,71.3,58.0,9.2,Very Active,2.0,6.5,,7.0,71.1,High,0,65.88235294117646
Female,Healthy,High,High,91.0,69.4,8.3,Underactive,8.8,3.8,3.6,8.5,54.8,Medium,0,72.72727272727273
Female,Healthy,High,High,60.8,93.8,5.8,Moderately Active,10.0,6.5,5.5,7.6,49.2,Medium,0,31.944444444444443
Male,Healthy,High,High,73.8,65.9,7.8,Very Active,9.9,6.2,7.3,5.3,52.6,Medium,1,20.388349514563107
Female,Poor,High,High,79.8,44.0,5.8,Moderately Active,3.1,6.8,6.7,3.9,54.5,Medium,0,54.545454545454554
Male,Excessive,High,High,76.6,95.7,10.0,Very Active,5.9,5.5,0.5,8.1,65.4,High,1,74.46808510638297
Male,Healthy,High,Moderate,98.3,91.1,8.6,Moderately Active,2.7,1.9,5.8,6.3,77.0,High,1,18.965517241379313
Female,Poor,High,High,77.7,74.4,6.2,Underactive,6.7,4.9,4.4,6.0,45.6,Low,0,52.054794520547944
Male,Poor,Low,Low,79.1,70.2,5.8,Underactive,10.0,5.6,2.4,6.4,57.2,Medium,1,30.0
Female,Poor,High,High,69.6,83.1,5.9,Very Active,7.3,5.6,5.2,6.9,45.2,Low,0,28.57142857142857
Male,Healthy,High,High,97.9,95.9,4.3,Very Active,3.7,7.3,7.3,8.6,81.8,High,1,70.51282051282051
Female,Healthy,High,Moderate,68.2,62.7,7.4,Very Active,8.5,6.0,3.6,10.0,60.4,Medium,0,30.645161290322577
Male,Poor,High,High,68.3,81.7,8.3,Very Active,5.4,4.6,3.3,6.2,59.0,Medium,1,63.82978723404255
Female,Poor,High,High,47.9,79.4,5.4,Underactive,5.2,7.4,2.5,8.3,48.3,Medium,0,54.99999999999999
Male,Poor,High,High,75.7,100.0,4.4,Very Active,4.5,9.4,4.3,5.0,53.0,Medium,1,51.85185185185186
Male,Poor,High,High,75.7,77.9,5.9,Moderately Active,4.2,3.5,1.6,7.0,46.6,Low,1,83.92857142857144
Male,Poor,High,High,77.2,53.1,4.1,Underactive,10.0,7.3,2.9,5.3,16.8,Low,1,54.08163265306122
Female,Poor,High,High,95.5,88.3,5.5,Underactive,8.2,6.4,2.2,8.1,60.4,Medium,0,34.285714285714285
Female,Poor,High,High,100.0,100.0,6.3,Underactive,6.9,7.7,2.9,7.5,58.2,Medium,0,59.09090909090909
Male,Poor,High,High,57.5,77.5,7.3,Underactive,5.7,5.2,5.7,4.4,35.4,Low,1,64.28571428571429
Male,Poor,Moderate,High,74.0,99.3,4.7,Very Active,2.4,9.4,9.2,7.0,67.7,High,1,77.77777777777777
Male,Healthy,High,Moderate,65.2,67.5,7.0,Very Active,7.8,5.3,3.9,8.6,66.1,High,1,34.6938775510204
Female,Healthy,High,Moderate,78.8,46.9,6.7,Underactive,5.0,1.2,0.0,9.3,44.8,Low,0,36.53846153846153
Female,Poor,High,Moderate,57.7,64.0,10.0,Very Active,7.5,5.6,5.3,4.9,46.5,Low,0,36.95652173913044
Male,Excessive,High,High,84.8,78.0,5.2,Underactive,2.1,8.8,4.9,5.0,72.9,High,1,64.15094339622641
Male,Healthy,High,High,74.2,87.1,3.1,Very Active,5.2,6.5,3.1,7.6,60.7,Medium,1,44.26229508196722
Male,Healthy,High,Low,80.4,98.0,6.6,Moderately Active,7.1,10.0,0.0,5.9,69.2,High,1,3.8461538461538463
Male,Poor,High,Low,88.0,100.0,8.8,Moderately Active,2.1,10.0,4.3,8.3,88.2,High,1,0.0
Male,Healthy,High,Moderate,62.6,62.2,4.4,Very Active,6.0,7.9,0.2,6.9,55.4,Medium,1,11.224489795918368
Female,Healthy,High,High,64.0,52.9,4.5,Underactive,3.6,7.1,1.3,5.8,58.6,Medium,0,28.28282828282828
Male,Poor,High,High,57.2,100.0,6.5,Underactive,5.5,8.5,2.0,5.8,54.7,Medium,1,42.10526315789474
Male,Poor,Moderate,High,78.1,35.7,5.8,Very Active,2.8,5.1,5.6,10.0,46.9,Medium,1,67.6470588235294
Female,Healthy,High,High,79.8,61.4,6.7,Underactive,6.0,9.3,8.1,5.2,61.0,Medium,0,49.01960784313726
Female,Healthy,High,Low,58.1,87.1,2.8,Underactive,3.9,6.1,,7.0,53.8,Medium,0,13.88888888888889
Male,Poor,High,Moderate,81.9,27.6,3.8,Underactive,8.4,9.2,4.3,8.1,44.7,Low,1,27.868852459016395
Female,Excessive,Moderate,High,62.5,44.1,7.5,Very Active,6.0,5.2,4.4,7.3,46.5,Low,0,61.53846153846154
Female,Healthy,High,High,66.0,77.5,10.0,Underactive,5.6,4.7,4.5,5.7,54.1,Medium,0,80.24691358024691
Male,Poor,High,High,100.0,70.5,6.5,Underactive,8.9,5.8,2.8,10.0,24.6,Low,1,94.44444444444443
Female,Poor,High,Moderate,82.6,61.8,3.6,Moderately Active,5.4,4.7,3.3,6.1,45.3,Low,0,21.428571428571427
Female,Poor,High,High,68.9,66.2,3.9,Very Active,4.0,4.0,4.6,8.4,36.0,Low,0,31.081081081081074
Female,Poor,High,High,73.7,64.7,1.4,Underactive,5.1,3.1,4.1,8.3,33.5,Low,0,30.909090909090907
Male,Healthy,High,Low,61.6,53.8,7.8,Underactive,5.5,9.4,2.7,5.3,51.6,Medium,1,0.0
Male,Healthy,High,High,91.1,100.0,7.8,Very Active,3.6,10.0,8.8,6.6,80.0,High,1,34.73684210526316
Male,Poor,High,High,83.4,100.0,8.0,Very Active,2.6,7.6,1.9,6.2,61.6,Medium,1,34.72222222222222
Male,Poor,Moderate,Moderate,53.8,56.7,9.1,Moderately Active,5.7,6.0,4.0,9.0,57.6,Medium,1,36.84210526315789
Male,Healthy,Low,Low,79.9,91.6,6.4,Very Active,3.1,9.1,7.2,4.2,79.8,High,1,0.0
Male,Healthy,High,Low,100.0,36.1,7.9,Underactive,4.1,5.8,1.1,7.1,65.0,High,1,0.0
Male,Healthy,High,High,83.6,76.8,4.9,Very Active,9.7,8.9,0.5,5.2,63.2,High,1,78.0
Male,Poor,High,High,100.0,56.8,5.6,Underactive,3.3,4.6,2.8,8.5,43.0,Low,1,27.173913043478265
Male,Healthy,High,Moderate,72.7,84.1,2.6,Underactive,4.8,9.7,1.1,6.4,73.5,High,1,31.666666666666664
Female,Poor,High,High,92.6,80.7,6.4,Underactive,3.2,5.7,3.9,7.8,50.3,Medium,0,56.666666666666664
Female,Poor,Moderate,High,74.7,91.5,7.8,Underactive,8.0,6.5,4.7,7.2,36.4,Low,0,61.111111111111114
Male,Healthy,High,Moderate,87.0,74.2,8.3,Very Active,6.0,9.0,2.7,6.8,65.4,High,1,32.20338983050847
Female,Healthy,High,Low,92.4,65.8,4.7,Very Active,6.8,7.7,3.6,5.8,62.8,Medium,0,11.11111111111111
Female,Poor,High,High,79.0,73.2,6.0,Underactive,3.0,7.8,3.4,4.2,45.3,Low,0,30.864197530864203
Female,Poor,High,High,75.4,92.2,5.3,Moderately Active,6.2,7.9,2.2,4.2,50.1,Medium,0,36.84210526315789
Male,Poor,High,High,85.2,93.9,3.8,Underactive,3.1,6.4,5.5,7.8,54.6,Medium,1,42.85714285714286
Female,Healthy,High,Moderate,77.7,70.9,5.1,Very Active,5.7,3.7,,7.7,62.7,Medium,0,28.57142857142857
Female,Healthy,High,High,69.7,71.4,4.0,Underactive,7.7,5.0,8.6,5.8,57.3,Medium,0,57.89473684210525
Female,Poor,High,High,68.9,96.8,4.5,Moderately Active,6.1,4.3,3.4,10.0,42.1,Low,0,55.55555555555556
Male,Poor,High,High,87.6,72.6,8.7,Very Active,6.3,6.0,2.9,7.0,51.8,Medium,1,65.85365853658539
Female,Healthy,High,Low,74.4,74.5,7.8,Moderately Active,4.8,1.0,7.2,5.7,47.1,Medium,0,4.166666666666667
Male,Poor,High,High,97.9,83.3,9.8,Very Active,3.7,7.6,9.1,6.8,72.9,High,1,58.62068965517242
Male,Poor,Moderate,High,85.7,99.9,5.8,Very Active,5.5,6.6,6.7,6.8,59.5,Medium,1,77.5
Male,Poor,High,High,86.0,96.8,10.0,Underactive,7.0,5.7,7.8,5.9,63.7,High,1,31.868131868131865
Female,Healthy,High,Moderate,80.7,75.8,9.4,Moderately Active,8.2,8.2,2.6,8.6,61.7,Medium,0,10.619469026548671
Female,Healthy,High,High,100.0,70.9,6.6,Underactive,1.0,3.2,6.8,5.4,47.2,Medium,0,63.33333333333333
Male,Poor,High,High,67.2,73.9,4.7,Moderately Active,10.0,6.5,4.7,7.1,22.2,Low,1,68.57142857142857
Female,Poor,High,Moderate,74.3,100.0,7.7,Very Active,5.7,7.4,1.4,6.3,60.6,Medium,0,26.785714285714285
Female,Poor,High,High,100.0,100.0,3.7,Very Active,4.1,10.0,2.5,4.5,71.1,High,0,36.36363636363637
Female,Healthy,High,High,100.0,100.0,5.3,Very Active,4.6,5.2,3.7,4.3,70.4,High,0,42.22222222222222
Female,Poor,High,High,67.7,69.1,7.2,Moderately Active,7.7,7.0,7.4,6.9,54.1,Medium,0,77.27272727272727
Female,Poor,High,High,82.9,73.5,5.4,Underactive,4.2,7.4,4.3,7.4,56.6,Medium,0,70.96774193548387
Female,Healthy,High,High,84.5,100.0,8.6,Underactive,8.3,4.2,4.1,6.3,51.3,Medium,0,38.20224719101123
Male,Healthy,High,Low,62.2,66.9,4.6,Moderately Active,5.5,2.6,0.0,10.0,43.2,Low,1,0.0
Female,Poor,High,High,96.1,64.6,5.0,Very Active,4.4,4.5,2.5,4.3,50.7,Medium,0,73.91304347826086
Female,Poor,Moderate,High,96.0,88.8,9.6,Moderately Active,4.8,6.1,6.5,6.8,64.3,High,0,84.00000000000001
Female,Healthy,High,Low,61.3,54.5,5.1,Very Active,4.9,3.1,2.0,5.9,47.8,Medium,0,0.0
Female,Poor,High,High,58.0,67.6,8.0,Very Active,6.3,7.3,2.3,5.0,47.1,Medium,0,34.177215189873415
Male,Excessive,High,High,85.6,65.0,4.3,Very Active,6.5,7.8,3.6,4.7,55.4,Medium,1,44.00000000000001
Male,Healthy,High,High,77.9,80.5,3.6,Moderately Active,9.4,3.9,2.6,6.8,45.5,Low,1,82.08955223880596
Female,Healthy,High,Moderate,94.4,96.8,3.3,Moderately Active,2.5,7.5,5.6,10.0,80.5,High,0,20.454545454545453
Female,Healthy,High,High,71.5,54.5,4.9,Very Active,3.5,6.4,4.7,6.2,56.9,Medium,0,31.46067415730337
Male,Healthy,High,High,95.7,78.1,6.8,Very Active,1.6,7.3,2.2,7.0,75.1,High,1,59.09090909090908
Male,Poor,High,Moderate,100.0,49.4,5.6,Underactive,9.2,4.9,0.0,7.2,39.0,Low,1,29.78723404255319
Female,Healthy,High,Low,73.7,100.0,6.7,Underactive,7.3,3.8,2.9,4.4,51.5,Medium,0,8.247422680412372
Male,Healthy,High,High,68.2,54.4,4.4,Moderately Active,6.2,4.2,2.0,4.7,36.7,Low,1,58.06451612903226
Male,Healthy,High,Moderate,90.1,68.7,5.9,Very Active,4.0,1.7,0.7,8.5,58.8,Medium,1,22.413793103448278
Male,Poor,High,High,100.0,38.7,10.0,Underactive,8.8,4.4,4.8,5.2,43.6,Low,1,75.75757575757575
Male,Poor,High,High,75.2,60.9,6.9,Underactive,4.3,2.7,7.0,6.6,52.3,Medium,1,75.40983606557377
Male,Healthy,High,High,87.8,89.0,10.0,Very Active,5.1,9.7,3.0,5.6,72.6,High,1,64.81481481481481
Male,Poor,High,High,89.1,74.4,8.3,Underactive,7.4,7.8,7.0,7.8,68.5,High,1,54.34782608695653
Male,Healthy,High,Moderate,100.0,82.4,4.9,Underactive,2.5,3.6,6.1,7.4,72.6,High,1,24.137931034482758
Male,Poor,High,High,76.1,67.1,6.8,Very Active,2.6,7.6,0.2,6.1,51.1,Medium,1,44.73684210526315
Male,Poor,High,Low,68.9,75.5,3.0,Moderately Active,4.9,4.6,,6.6,32.9,Low,1,6.4102564102564115
Male,Healthy,High,High,86.2,97.9,3.1,Moderately Active,5.5,8.1,3.3,2.8,56.8,Medium,1,48.148148148148145
Female,Poor,High,High,90.7,95.0,5.5,Moderately Active,6.0,6.9,7.0,7.6,52.2,Medium,0,43.93939393939394
Female,Healthy,High,High,47.5,96.2,8.5,Very Active,5.7,3.3,5.5,7.3,51.4,Medium,0,57.831325301204814
Male,Healthy,Moderate,High,89.7,58.3,4.0,Very Active,6.1,4.6,3.5,6.3,51.2,Medium,1,89.47368421052632
Female,Healthy,High,High,60.6,85.6,3.5,Underactive,7.7,4.5,5.5,5.0,34.6,Low,0,60.24096385542168
Male,Poor,High,Low,84.7,70.4,3.9,Underactive,5.8,8.7,4.7,7.3,53.2,Medium,1,0.0
Male,Healthy,High,High,78.3,87.0,4.1,Very Active,4.0,4.2,2.9,8.1,65.2,High,1,26.923076923076927
Male,Poor,High,High,79.1,63.8,0.6,Underactive,5.5,7.9,7.0,5.9,40.1,Low,1,51.162790697674424
Male,Poor,High,Low,91.2,63.0,0.4,Underactive,8.3,8.1,1.0,7.1,36.1,Low,1,0.0
Female,Poor,High,High,90.7,54.3,2.6,Moderately Active,7.7,7.2,0.7,6.4,39.4,Low,0,51.515151515151516
Female,Poor,High,High,80.1,79.6,8.6,Underactive,4.9,7.2,2.5,4.3,50.3,Medium,0,65.27777777777779
Male,Healthy,High,High,83.0,91.3,10.0,Underactive,4.6,6.5,5.7,7.7,68.0,High,1,44.9438202247191
Female,Poor,High,High,78.3,64.4,10.0,Underactive,7.6,4.9,0.0,5.8,53.1,Medium,0,93.33333333333333
Male,Poor,High,High,79.3,84.1,4.3,Very Active,7.5,5.1,2.6,5.8,39.5,Low,1,27.884615384615387
Female,Healthy,High,High,70.5,100.0,5.1,Very Active,7.8,5.8,0.0,5.8,49.0,Medium,0,46.05263157894737
Male,Healthy,High,Moderate,67.1,100.0,6.3,Very Active,3.8,7.5,3.2,6.6,68.1,High,1,24.074074074074073
Male,Poor,High,Moderate,48.6,100.0,10.0,Moderately Active,2.2,7.0,4.3,6.4,43.0,Low,1,16.101694915254235
Female,Poor,High,High,74.7,74.1,3.8,Underactive,5.3,3.2,2.6,6.5,36.6,Low,0,36.36363636363637
Male,Poor,High,High,90.2,58.8,6.0,Very Active,7.5,5.6,7.1,9.9,35.0,Low,1,47.368421052631575
Male,Poor,High,Moderate,95.9,85.9,6.2,Very Active,5.4,5.6,3.8,6.0,79.5,High,1,34.6938775510204
Male,Poor,High,High,85.8,73.7,5.8,Underactive,7.8,8.9,4.1,8.8,50.8,Medium,1,59.77011494252874
Female,Healthy,High,Low,63.2,71.4,1.6,Very Active,3.0,7.0,6.1,6.3,48.8,Medium,0,21.73913043478261
Female,Healthy,High,High,78.0,100.0,5.4,Underactive,1.5,9.9,1.8,6.7,65.5,High,0,61.76470588235294
Male,Healthy,High,High,65.0,99.9,3.0,Moderately Active,5.5,5.8,,6.2,59.3,Medium,1,88.88888888888889
Female,Poor,High,High,100.0,86.5,10.0,Very Active,3.2,5.9,3.8,7.8,78.8,High,0,32.407407407407405
Male,Healthy,High,High,75.0,73.3,7.3,Underactive,4.5,5.8,2.4,4.7,46.4,Low,1,88.88888888888889
Female,Poor,Moderate,Moderate,73.6,75.1,8.5,Moderately Active,5.1,7.0,0.3,6.7,64.4,High,0,53.125
Male,Poor,High,High,92.0,47.2,4.1,Underactive,7.8,10.0,3.9,8.3,54.3,Medium,1,36.66666666666667
Female,Healthy,High,Moderate,79.5,93.8,5.0,Very Active,7.2,6.2,4.3,6.7,52.7,Medium,0,17.808219178082194
Female,Healthy,Moderate,High,65.4,61.2,8.3,Underactive,8.0,6.7,6.5,8.0,60.9,Medium,0,70.0
Female,Poor,High,High,86.6,92.6,9.0,Underactive,5.5,4.8,5.9,5.4,55.2,Medium,0,40.659340659340664
Male,Excessive,High,High,72.0,60.9,8.3,Underactive,7.1,5.4,8.6,9.4,45.9,Low,1,66.07142857142858
Male,Healthy,High,Low,76.0,84.3,5.3,Underactive,6.7,6.0,6.2,7.3,62.5,Medium,1,8.21917808219178
Male,Healthy,High,Low,83.8,69.2,6.4,Underactive,3.5,7.5,4.9,7.4,63.4,High,1,0.0
Female,Poor,High,High,77.0,68.1,7.5,Underactive,4.1,1.0,6.5,8.8,57.6,Medium,0,82.0
Female,Healthy,Moderate,Low,100.0,87.5,7.1,Moderately Active,5.6,5.7,2.4,5.2,74.6,High,0,21.73913043478261
Female,Poor,High,High,60.5,92.3,5.7,Very Active,6.1,6.6,4.4,10.0,61.6,Medium,0,56.33802816901409
Female,Poor,High,Moderate,80.3,83.9,0.0,Underactive,3.4,7.7,3.0,7.8,62.3,Medium,0,26.666666666666668
Male,Poor,High,High,94.1,62.4,7.5,Underactive,9.2,9.0,4.7,7.7,42.7,Low,1,80.55555555555554
Male,Healthy,Moderate,High,83.6,79.6,6.0,Underactive,4.5,9.4,3.8,8.9,80.1,High,1,92.85714285714288
Male,Healthy,High,Moderate,75.1,93.9,10.0,Very Active,9.0,7.8,4.7,9.3,64.6,High,1,20.833333333333332
Male,Healthy,High,High,67.0,51.8,6.8,Underactive,7.4,8.5,9.0,5.2,37.6,Low,1,77.27272727272727
Male,Poor,High,Low,66.8,96.0,4.2,Underactive,6.4,6.9,4.3,6.1,63.1,High,1,1.9230769230769231
Male,Healthy,High,Low,47.9,68.3,7.5,Underactive,6.4,6.7,3.0,8.5,47.7,Medium,1,0.0
Male,Healthy,High,Low,82.2,67.0,6.2,Underactive,5.7,9.0,0.6,5.6,58.3,Medium,1,3.1746031746031753
Female,Poor,High,High,83.0,82.3,8.5,Underactive,5.5,7.0,6.6,7.0,46.2,Low,0,60.24096385542168
Male,Healthy,High,Moderate,67.6,38.1,4.7,Moderately Active,6.0,7.2,4.6,7.9,45.8,Low,1,31.70731707317074
Female,Poor,Moderate,Low,76.4,74.2,4.2,Underactive,7.3,4.0,7.2,7.5,51.5,Medium,0,15.384615384615385
Female,Healthy,High,High,61.3,70.0,4.8,Underactive,5.5,6.0,4.8,5.8,51.2,Medium,0,51.724137931034484
Male,Poor,High,Moderate,90.0,57.1,9.5,Moderately Active,8.7,7.2,2.6,5.1,57.1,Medium,1,24.242424242424246
Male,Healthy,High,Moderate,75.8,60.6,4.4,Very Active,4.8,7.4,4.6,4.0,56.4,Medium,1,26.31578947368421
Male,Healthy,High,Moderate,67.2,30.7,3.0,Underactive,4.6,5.5,5.2,7.2,41.1,Low,1,23.529411764705884
Male,Poor,High,Moderate,73.0,100.0,4.8,Very Active,1.5,5.1,6.7,8.9,76.9,High,1,18.666666666666664
Female,Poor,Moderate,High,100.0,65.3,4.4,Underactive,7.7,8.7,0.1,6.6,56.4,Medium,0,66.66666666666666
Female,Poor,Low,Low,60.4,88.3,6.2,Very Active,8.8,4.0,3.0,5.7,56.1,Medium,0,100.0
Male,Healthy,High,Low,91.8,74.2,6.6,Very Active,1.4,5.0,5.1,8.0,65.2,High,1,11.76470588235294
Male,Poor,High,High,65.6,100.0,6.0,Moderately Active,3.0,10.0,4.8,6.6,65.5,High,1,91.02564102564102
Female,Healthy,High,High,70.1,73.2,5.8,Underactive,6.6,3.7,4.2,6.4,39.4,Low,0,44.3298969072165
Male,Healthy,High,Moderate,82.7,84.0,9.9,Moderately Active,4.6,8.5,4.7,5.7,69.1,High,1,23.076923076923077
Female,Poor,High,High,86.4,69.5,6.4,Underactive,10.0,2.3,4.1,8.7,39.5,Low,0,55.319148936170215
Female,Healthy,High,Low,70.5,47.0,4.3,Very Active,5.5,4.7,3.3,6.4,41.8,Low,0,12.85714285714286
Male,Poor,High,High,95.4,44.1,5.9,Very Active,8.0,4.9,4.9,7.4,49.9,Medium,1,57.777777777777786
Male,Healthy,High,High,67.4,68.8,8.2,Very Active,3.9,2.3,,5.2,56.1,Medium,1,32.967032967032964
Male,Poor,High,High,74.2,71.6,9.0,Underactive,10.0,4.0,5.5,7.0,44.6,Low,1,54.23728813559322
Male,Poor,High,Low,91.4,87.1,3.5,Very Active,4.3,2.6,4.7,5.4,48.2,Medium,1,0.0
Male,Healthy,Moderate,High,100.0,79.5,9.8,Underactive,4.2,3.2,0.0,6.2,70.6,High,1,63.888888888888886
Female,Excessive,High,High,63.5,86.9,5.9,Underactive,6.1,7.6,2.9,4.6,37.9,Low,0,44.62809917355373
Female,Poor,High,High,83.9,100.0,5.9,Moderately Active,4.8,3.1,2.7,7.2,49.9,Medium,0,88.88888888888889
Male,Poor,High,Moderate,89.5,60.7,6.0,Underactive,3.4,6.6,0.3,5.7,50.0,Medium,1,39.53488372093023
Female,Poor,High,Low,61.8,41.3,7.6,Underactive,6.0,5.7,0.0,8.2,48.2,Medium,0,5.454545454545454
Female,Poor,High,High,88.6,82.8,6.0,Very Active,2.4,7.3,3.8,7.3,86.9,High,0,74.46808510638297
Female,Healthy,High,High,73.6,53.2,6.2,Very Active,8.2,5.6,1.0,6.7,54.3,Medium,0,37.931034482758626
Female,Healthy,Moderate,High,71.6,99.6,2.9,Underactive,7.7,5.0,6.9,6.5,53.0,Medium,0,89.47368421052632
Female,Poor,Low,Low,68.5,80.7,6.3,Underactive,5.6,2.0,3.2,3.4,48.3,Medium,0,29.411764705882355
Female,Poor,High,High,84.0,79.8,8.0,Underactive,7.6,2.9,5.7,5.8,45.5,Low,0,46.55172413793104
Male,Healthy,High,Moderate,68.9,77.7,5.2,Underactive,9.8,4.7,7.2,9.1,59.1,Medium,1,36.585365853658544
Male,Healthy,High,High,75.5,71.0,7.1,Underactive,7.4,5.3,0.7,7.5,51.4,Medium,1,64.15094339622641
Female,Poor,High,High,52.5,65.3,6.9,Very Active,7.3,9.0,5.4,4.7,36.8,Low,0,80.0
Female,Poor,High,Moderate,92.3,100.0,6.1,Underactive,9.1,10.0,4.8,7.3,65.4,High,0,18.055555555555554
Female,Poor,High,High,82.8,100.0,5.7,Very Active,6.4,6.0,4.0,5.1,46.3,Low,0,44.34782608695652
Female,Poor,High,High,82.9,91.7,6.1,Underactive,2.4,9.1,5.0,5.5,68.9,High,0,72.0
Female,Healthy,High,High,95.0,73.8,5.4,Moderately Active,5.9,7.0,2.0,6.3,56.4,Medium,0,90.56603773584906
Female,Poor,High,High,92.2,85.2,6.3,Very Active,6.7,8.1,3.5,7.7,64.3,High,0,38.88888888888889
